recall,precision
0.000587,0.997925
0.002077,0.997925
0.003567,0.997925
0.005057,0.997925
0.006547,0.997925
0.008037,0.997925
0.009527,0.997925
0.011017,0.997925
0.012507,0.997925
0.013997,0.997925
0.015486,0.997925
0.016976,0.997925
0.018466,0.997925
0.019956,0.997925
0.021446,0.997925
0.022936,0.997925
0.024426,0.997925
0.025916,0.997925
0.027406,0.997925
0.028896,0.997925
0.030385,0.997925
0.031875,0.997925
0.033365,0.997925
0.034855,0.997925
0.036345,0.997925
0.037835,0.997925
0.039325,0.997925
0.040815,0.997925
0.042305,0.997925
0.043795,0.997925
0.045285,0.997925
0.046774,0.997925
0.048264,0.997925
0.049754,0.997925
0.051244,0.997925
0.052734,0.997925
0.054224,0.997925
0.055714,0.997925
0.057204,0.997925
0.058694,0.997925
0.060184,0.997925
0.061674,0.997925
0.063163,0.997925
0.064653,0.997925
0.066143,0.997925
0.067633,0.997925
0.069123,0.997925
0.070613,0.997925
0.072103,0.997925
0.073593,0.997925
0.075083,0.997925
0.076573,0.997925
0.078062,0.997925
0.079552,0.997925
0.081042,0.997925
0.082532,0.997925
0.084022,0.997925
0.085512,0.997925
0.087002,0.997925
0.088492,0.997925
0.089982,0.997925
0.091472,0.997925
0.092962,0.997925
0.094451,0.997925
0.095941,0.997925
0.097431,0.997925
0.098921,0.997925
0.100411,0.997925
0.101901,0.997925
0.103391,0.997925
0.104881,0.997925
0.106371,0.997925
0.107861,0.997925
0.10935,0.997925
0.11084,0.997925
0.11233,0.997925
0.11382,0.997925
0.11531,0.997925
0.1168,0.997925
0.11829,0.997925
0.11978,0.997925
0.12127,0.997925
0.12276,0.997925
0.12425,0.997925
0.125739,0.997925
0.127229,0.997925
0.128719,0.997925
0.130209,0.997925
0.131699,0.997925
0.133189,0.997925
0.134679,0.997925
0.136169,0.997925
0.137659,0.997925
0.139149,0.997925
0.140638,0.997925
0.142128,0.997925
0.143618,0.997925
0.145108,0.997925
0.146598,0.997925
0.148088,0.997925
0.149578,0.997925
0.151068,0.997925
0.152558,0.997925
0.154048,0.997925
0.155538,0.997925
0.157027,0.997925
0.158517,0.997925
0.160007,0.997925
0.161497,0.997925
0.162987,0.997925
0.164477,0.997925
0.165967,0.997925
0.167457,0.997925
0.168947,0.997925
0.170437,0.997925
0.171926,0.997925
0.173416,0.997925
0.174906,0.997925
0.176396,0.997925
0.177886,0.997925
0.179376,0.997925
0.180866,0.997925
0.182356,0.997925
0.183846,0.997925
0.185336,0.997925
0.186826,0.997925
0.188315,0.997925
0.189805,0.997925
0.191295,0.997925
0.192785,0.997925
0.194275,0.997925
0.195765,0.997925
0.197255,0.997925
0.198745,0.997925
0.200235,0.997925
0.201726,0.997525
0.203211,0.999126
0.203966,0.995923
0.204706,0.997525
0.206191,0.999126
0.206945,0.995923
0.207685,0.997525
0.20917,0.999126
0.209925,0.995923
0.210665,0.997525
0.21215,0.999126
0.212905,0.995923
0.213645,0.997525
0.21513,0.999126
0.215885,0.995923
0.216625,0.997525
0.21811,0.999126
0.218865,0.995923
0.219605,0.997525
0.22109,0.999126
0.221845,0.995923
0.222585,0.997525
0.224069,0.999126
0.224824,0.995923
0.225564,0.997525
0.227049,0.999126
0.227804,0.995923
0.228544,0.997525
0.229298,0.994722
0.230034,0.997525
0.230789,0.994321
0.231524,0.997525
0.232279,0.994321
